score	name	city	state
8.7	 Sorrento's	 Long Beach	 NY
7.3	 Mary Lou's Pizza	 Old Forge	 PA
7.9	 Gino's Long Beach	 Long Beach	 NY
6.6	 Ribalta Mo'	 New York	 NY
7.1	 Salerno's Cafe	 Old Forge	 PA
7.6	 Cafe Rinaldi	 Old Forge	 PA
7.6	 Cusumano	 Old Forge	 PA
6.5	 Boomershine Pizzeria	 Bluff City	 TN
7.5	 Arcaro & Genell	 Old Forge	 PA
7.4	 Revello's Pizza	 Old Forge	 PA
6.8	 Mezze	 Forest Hills	 NY
8.4	 Nick's Pizza - Forest Hills	 Forest Hills	 NY
7.5	 Red Front Pizza	 Clifton Park	 NY
3.2	 Sbarro	 New York	 NY
5.9	 La Manda's Restaurant	 White Plains	 NY
5.9	 NYC Pizza	 New York	 NY
7.1	 Villa Pizza	 New York	 NY
4.9	 Time Square Dollar Pizza	 New York	 NY
7.8	 Nonna's Pizza	 White Plains	 NY
6.8	 Pizza 7	 Saratoga Springs	 NY
7.4	 Lombardo's	 White Plains	 NY
7.7	 Michael's Famous Pan Pizza &...	 Port Chester	 NY
6.9	 Glenville Pizza	 Greenwich	 CT
3.8	 Poppy Pizza	 Mashpee	 MA
3.8	 Shangri-La Kitchen	 Nantucket	 MA
7.4	 Pizzeria Beddia	 Philadelphia	 PA
6.7	 Dragon By The Sea	 Nantucket	 MA
7.9	 Vince's Pizzeria	 Philadelphia	 PA
7.9	 Pizza Shackamaxon	 Philadelphia	 PA
8.1	 Tacconelli's Pizzeria	 Philadelphia	 PA
7.4	 Sam's	 Brooklyn	 NY
7.3	 House of Pizza & Calzones	 Brooklyn	 NY
0.1	 Cumberland Farms	 Nantucket	 MA
7.7	 Table 87 - Brooklyn Heights	 Brooklyn	 NY
6.8	 Krave It Pizza & Sandwich Jo...	 Bayside	 NY
7.2	 VIPizza	 Bayside	 NY
7.4	 Pizza Garden	 Flushing	 NY
4.2	 Pizza Chef	 Whitestone	 NY
7.3	 Freddy's Pizzeria	 Whitestone	 NY
6.8	 Cascarino's Brick Oven Pizze...	 Whitestone	 NY
5.4	 Sunnyside Pizza	 Sunnyside	 NY
8.1	 Amore Pizzeria	 Flushing	 NY
7.2	 Lucia Pizza	 Flushing	 NY
4.9	 Mama Mia 44 SW	 New York	 NY
7.1	 City Pizza	 New York	 NY
7.8	 Peperino	 New York	 NY
7.4	 Rosa's Pizza	 Maspeth	 NY
4.1	 Ascot Racecourse	 Bracknell Forest	 WNM
2.1	 Ciro's Pizza Pomodoro	 London	 XGL
8.2	 Grand Apizza Shoreline	 Clinton	 CT
7.4	 Resca	 New York	 NY
7.3	 Nino’s Pizza & Subs	 Boston	 MA
7.7	 Haymarket Pizza	 Boston	 MA
6.9	 Sotto 13	 New York	 NY
5.9	 Faraci Pizza	 Ballwin	 MO
6.6	 Dewey's Pizza	 University City	 MO
7.8	 Pat's Pizza	 Dorchester Center	 MA
7.2	 La Pizza	 University City	 MO
5.8	 Pi Pizzeria - Delmar Loop	 Saint Louis	 MO
6.2	 Imo's Pizza	 Saint Louis	 MO
